,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
1281,1.51468E+18,2022-04-14 19:12:42+00:00,"@Alwaleed_Talal @Twitter @Kingdom_KHC Interesting. Just two questions, if I may. 

How much of Twitter does the Kingdom own, directly &amp; indirectly?

What are the Kingdom’s views on journalistic freedom of speech?",227863,36500,,1
1282,1.51468E+18,2022-04-14 19:06:07+00:00,Will endeavor to keep as many shareholders in privatized Twitter as allowed by law,187043,11681,,1
1283,1.51456E+18,2022-04-14 11:23:21+00:00,"I made an offer 
https://t.co/VvreuPMeLu",920409,111186,,1
1310,1.5128E+18,2022-04-09 14:39:37+00:00,@jspeedymorris22 @darrenrovell Now subtract crypto scam accounts that twitter constantly shows as “real” people in everyone’s feed,27853,2699,,1
1312,1.51279E+18,2022-04-09 13:38:00+00:00,And @justinbieber only posted once this entire year,111852,4727,,1
1313,1.51279E+18,2022-04-09 13:35:49+00:00,"For example, @taylorswift13 hasn’t posted anything in 3 months",118093,5870,,1
1314,1.51279E+18,2022-04-09 13:32:31+00:00,"Most of these “top” accounts tweet rarely and post very little content. 

Is Twitter dying? https://t.co/lj9rRXfDHE",212730,18381,,1
1354,1.51132E+18,2022-04-05 12:39:34+00:00,@paraga Looking forward to working with Parag &amp; Twitter board to make significant improvements to Twitter in coming months!,320437,26977,,1
1355,1.51123E+18,2022-04-05 06:32:39+00:00,"@PPathole @Erdayastronaut Yeah, single most annoying problem on twitter imo",23773,797,,1
1454,1.50778E+18,2022-03-26 17:51:26+00:00,"Given that Twitter serves as the de facto public town square, failing to adhere to free speech principles fundamentally undermines democracy. 

What should be done? https://t.co/aPS9ycji37",258358,33116,,1
1466,1.50726E+18,2022-03-25 07:34:52+00:00,"Free speech is essential to a functioning democracy.

Do you believe Twitter rigorously adheres to this principle?",187749,44732,,1
1479,1.50704E+18,2022-03-24 17:07:22+00:00,Twitter algorithm should be open source,70925,10982,,1
1481,1.50704E+18,2022-03-24 16:50:25+00:00,"@waitbutwhy I’m worried about de facto bias in “the Twitter algorithm” having a major effect on public discourse. 

How do we know what’s really happening?",28727,3031,,1
1759,1.49532E+18,2022-02-20 08:51:40+00:00,@Erdayastronaut @Twitter @jack @TwitterComms Seriously. How long must this go on?,13209,607,,1
1803,1.49376E+18,2022-02-16 01:26:55+00:00,@BillyM2k @TwitterSupport Agreed. This has been broken for a long time.,18603,960,,1
2026,1.48446E+18,2022-01-21 09:23:26+00:00,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?,148770,9839,,1
2250,1.47265E+18,2021-12-19 19:27:37+00:00,Looks like twitter is compressing the image,57364,1959,,1
